=========================================================
FLAT PERFORMANCE ANALYSIS REPORT
=========================================================
Instructions   % Total   Function Name
---------------------------------------------------------
3338252856     76.23    % f64xsubf128
973180942      22.22    % compute_dft
67129348       1.53     % .plt.sec
213049         0.00     % main
62345          0.00     % _dl_rtld_di_serinfo
61256          0.00     % __tunable_is_initialized
29701          0.00     % _dl_fatal_printf
14937          0.00     % _dl_mcount
10240          0.00     % f32xsqrtf64
7987           0.00     % __tunable_get_val
6144           0.00     % __sqrt_finite
5552           0.00     % __nptl_change_stack_perm
1802           0.00     % _dl_audit_symbind_alt
1592           0.00     % _dl_debug_state
1549           0.00     % parse_printf_format
1538           0.00     % __tls_get_addr
857            0.00     % timer_settime
671            0.00     % _IO_vfprintf
611            0.00     % __xpg_basename
515            0.00     % __default_morecore
342            0.00     % _dl_get_tls_static_info
327            0.00     % __nss_database_lookup
210            0.00     % _dl_catch_exception
175            0.00     % _flushlbf
171            0.00     % _IO_flush_all
149            0.00     % .text
132            0.00     % _dl_deallocate_tls
116            0.00     % __cxa_finalize
106            0.00     % __strtof128_nan
105            0.00     % _dl_allocate_tls_init
85             0.00     % _dl_x86_get_cpu_features
84             0.00     % _IO_file_overflow
79             0.00     % erand48_r
72             0.00     % __libc_start_main
72             0.00     % _IO_printf
66             0.00     % _IO_do_write
64             0.00     % .plt.sec
63             0.00     % _IO_file_xsputn
59             0.00     % __sbrk
52             0.00     % _IO_file_doallocate
49             0.00     % __libc_malloc
48             0.00     % _IO_default_xsgetn
45             0.00     % _IO_default_xsputn
44             0.00     % __pthread_mutex_lock
44             0.00     % __nptl_death_event
40             0.00     % __register_atfork
39             0.00     % __cxa_atexit
38             0.00     % _IO_file_write
35             0.00     % __sigsetjmp
34             0.00     % pthread_mutex_unlock
34             0.00     % _init
33             0.00     % __cxa_at_quick_exit
30             0.00     % .text
29             0.00     % _IO_doallocbuf
29             0.00     % _IO_setb
28             0.00     % __libc_init_first
26             0.00     % writev
22             0.00     % _dl_signal_error
21             0.00     % _IO_file_sync
18             0.00     % _IO_file_setbuf
18             0.00     % brk
13             0.00     % __call_tls_dtors
13             0.00     % __do_global_dtors_aux
12             0.00     % _start
11             0.00     % __libc_alloca_cutoff
10             0.00     % register_tm_clones
8              0.00     % __write
7              0.00     % _init
7              0.00     % _init
7              0.00     % exit
6              0.00     % fstat
6              0.00     % _exit
5              0.00     % deregister_tm_clones
5              0.00     % _dl_audit_preinit
4              0.00     % _fini
4              0.00     % .fini
3              0.00     % _setjmp
3              0.00     % _IO_file_stat
2              0.00     % .plt.got
2              0.00     % frame_dummy
2              0.00     % .plt.got
2              0.00     % .plt.got
=========================================================
